"id","concession","area","sitecode","stopname","roadname","towards","coordinates"
108,"NDMC","Central","B-54-P","Dayal Singh College","Maharishi Raman Marg","Khan Mkt","28.592386, 77.228726"
109,"NDMC","Central","B-55-P","Dayal Singh College","Maharishi Raman Marg","Lodhi Road","28.592422, 77.228916"
110,"NDMC","Central","B-56-P","Nirman Bhawan","Maulana Azad Marg","K Kamraj Marg","28.610208, 77.217447"
111,"NDMC","Central","B-57-P","Nirman Bhawan","Maulana Azad Marg","India Gate circle","28.610295, 77.217476"
112,"NDMC","Central","B-58-P","Lodhi Road X ing","Max Mueller Marg","Lodhi Colony","28.591431, 77.223641"
113,"NDMC","Central","B-59-P","Lodhi Road X ing","Max Mueller Marg","Khan Mkt","28.591656, 77.223548"
114,"NDMC","Central","B-60-P","Max Mueller Marg","Max Mueller Marg","Khan Mkt","28.595855, 77.223300"
115,"NDMC","Central","B-61-P","Max Mueller Marg","Max Mueller Marg","Lodhi Colony","28.595460, 77.223451"
116,"NDMC","Central","B-62-P","Prithvi Raj Road","Prithvi Raj Road","S J Madarsa","28.596592, 77.217653"
117,"NDMC","Central","B-64-P","Udyog Bhawan","Rafi Ahmed Kidwai Marg","Akashwani Bhawan","28.612676, 77.211898"
118,"NDMC","Central","B-66-P","Udyog Bhawan","Rafi Ahmed Kidwai Marg","G Block","28.612664, 77.212262"
119,"NDMC","Central","B-68-P","Sardar Patel Marg","Sardar Patel Marg","Mother Teresa Crescent","28.597496, 77.171800"
120,"NDMC","Central","B-69-P","Bapu Dham","Sardar Patel Marg","Mother Teresa Crescent","28.599300, 77.175249"
121,"NDMC","Central","B-70-P","Bapu Dham","Sardar Patel Marg","Dhaula Kuan","28.599178, 77.175684"
122,"NDMC","Central","B-71-P","Railway Colony","Sardar Patel Marg","Dhaula Kuan","28.600771, 77.178507"
123,"NDMC","Central","B-72-P","Railway Colony","Sardar Patel Marg","Mother Teresa Crescent","28.600638, 77.177983"
124,"NDMC","Central","B-73-P","Bhartiya Sadhu Samaj","Sardar Patel Marg","Dhaula Kuan","28.603770, 77.184257"
125,"NDMC","Central","B-74-P","Bhartiya Sadhu Samaj","Sardar Patel Marg","Mother Teresa Crescent","28.603818, 77.184057"
126,"NDMC","Central","B-75-P","Akbar Bhawan","Satya Marg","Shanti Path","28.586195, 77.191025"
127,"NDMC","Central","B-76-P","Akbar Bhawan","Satya Marg","Vinay Marg","28.586079, 77.191094"
128,"NDMC","Central","B-77-P","UPSC","Shahjahan road","Prithvi raj Road","28.608384, 77.228026"
129,"NDMC","Central","B-78-P","UPSC","Shahjahan road","India Gate circle","28.607061, 77.226626"
130,"NDMC","Central","B-79-P","Moti Bagh I","Shanti Path","Chankyapuri","28.579788, 77.178329"
131,"NDMC","Central","B-80-P","Moti Bagh I","Shanti Path","Chankyapuri","28.580146, 77.179029"
132,"NDMC","Central","B-81-P","Moti Bagh I","Shanti Path","Mahatma Gandhi Marg (Ring","28.580365, 77.180161"
133,"NDMC","Central","B-82-P","Rail Museum","Shanti Path","Mahatma Gandhi Marg (Ring","28.587435, 77.185638"
134,"NDMC","Central","B-83-P","Rail Museum","Shanti Path","Chankyapuri","28.586962, 77.185215"
135,"NDMC","Central","B-84-P","Teen Murti","South Avenue","Rashtrapati Bhawan","28.606247, 77.198908"
136,"NDMC","Central","B-85-P","Teen Murti","South Avenue","Teen Murti","28.605637, 77.199041"
137,"NDMC","Central","B-86-P","Rabindra nagar","Subramanium Bharti Marg","Khan Mkt","28.598517, 77.225141"
138,"NDMC","Central","B-88-P","P S Chanakyapuri","Teen Murti Marg","Shanti Path","28.603720, 77.196860"
139,"NDMC","Central","B-89-P","P S Chanakyapuri","Teen Murti Marg","South Avenue","28.603756, 77.196471"
140,"NDMC","Central","B-91-P","P S Tuglak Road","Tuglak Road","Mahatma Gandhi Marg (Ring","28.599934, 77.211334"
141,"NDMC","Central","B-92-P","Tuglak Crescent","Tuglak Road","P S Tuglak Road","28.594506, 77.211936"
142,"NDMC","Central","B-93-P","Tuglak Crescent","Tuglak Road","Mahatma Gandhi Marg (Ring","28.594864, 77.212081"
143,"NDMC","Central","B-94-P","Ashoka Hotel","Vinay Marg","Ashok Hotel","28.594210, 77.195958"
144,"NDMC","Central","B-95-P","Ashoka Hotel","Vinay Marg","Brig Hosiyar Singh Marg","28.594060, 77.196177"
145,"NDMC","Central","B-96-P","Palika Club","Vinay Marg","Ashok Hotel","28.586225, 77.193434"
146,"NDMC","Central","B-97-P","Vinay Marg","Vinay Marg","Mahatma Gandhi Marg (Ring","28.586639, 77.193754"
147,"NDMC","Central","C-08-P","Indian Oil Bhawan (no FSP)","Janpath","Connaught Place","28.628544, 77.219340"
148,"NDMC","Central","C-09-P","Windsor Place","Janpath","Connaught Place","28.618109, 77.218692"
149,"NDMC","Central","C-10-P","Windsor Place","Janpath","Rajesh pilot Marg","28.618176, 77.218842"
150,"NDMC","Central","C-11-P","National Archives","Janpath","Connaught Place","28.615038, 77.218480"
151,"NDMC","Central","C-12-P","National Archives","Janpath","Rajesh pilot Marg","28.615827, 77.218700"
152,"NDMC","Central","C-17-P","Sena Bhawan","K Kamraj Marg","Janpath Road","28.608189, 77.206567"
153,"NDMC","Central","C-18-P","Sena Bhawan","K Kamraj Marg","South Avenue","28.608141, 77.206615"
154,"NDMC","Central","C-21-P","Palika Kendra","Sansad Marg","Connaught Place","28.628826, 77.216598"
155,"NDMC","Central","C-22-P","Palika Kendra","Sansad Marg","Parliament House","28.628502, 77.216739"
156,"NDMC","Central","C-25-P","Rail Bhawan","Rafi Ahmed Kidwai Marg","Akashwani Bhawan","28.614913, 77.211980"
157,"NDMC","Central","C-26-P","National Stadium","India Gate circle","india Gate circle","28.613324, 77.234690"
158,"NDMC","Central","F-03-P","Mandi House","Bhagwan Das Road","Mandi House","28.624680, 77.232904"
159,"NDMC","Central","F-04-P","Mandi House","Bhagwan Das Road","Tilak Marg","28.624964, 77.232864"
160,"NDMC","Central","F-01-P","Agakhan Hall","Bhagwan Das Road","Mandi House","28.622368, 77.235260"
161,"NDMC","Central","F-02-P","Agakhan Hall","Bhagwan Das Road","Tilak Marg","28.622462, 77.235381"
162,"NDMC","Central","F-10-P","R M L Hospital","Baba Kharak Singh Marg","Gole dakkhana","28.624568, 77.201040"
163,"NDMC","Central","F-11-P","Mandi House","Sikandara Road","ITO","28.625736, 77.233981"
164,"NDMC","Central","F-13-P","Humayun Road","Humayun Road","Khan Mkt","28.603379, 77.227054"
165,"NDMC","Central","F-17-P","AB Block","B Avenue","Mahatma Gandhi Marg (Ring","28.571574, 77.199198"
166,"NDMC","Central","F-18-P","AB Block","B Avenue","Brig Hosiyar Singh Marg","28.571014, 77.199178"
167,"NDMC","Central","E-09-P","Gurudwara Rakab Ganj","Talkatora Road","Mother Teresa Crescent","28.621150, 77.205032"
168,"NDMC","Central","E-10-P","Gurudwara Rakab Ganj","Talkatora Road","Gurudwara Rakab Ganj","28.621221, 77.205209"
169,"NDMC","Central","F-06-P","Baroda House","India Gate circle","India Gate circle","28.616035, 77.230515"
170,"NDMC","Central","F-07-P","Baroda House","K G Marg","Connaught Place","28.617118, 77.228591"
171,"NDMC","Central","F-08-P","Baroda House","K G Marg","India Gate circle","28.617541, 77.228569"
172,"NDMC","Central","F-09-P","Bhartiya Vidya Bhawan","K G Marg","Connaught Place","28.621910, 77.225853"
173,"NDMC","Central","F-14-P","Akaswani Bhawan","Sansad Marg","Connaught Place","28.620689, 77.210624"
174,"NDMC","Central","F-19-P","Palika Kutumb","Sardar Patel Marg","Dhaula Kuan","28.607581, 77.188949"
175,"NDMC","Central","D-06-P","J & K House","Prithvi Raj Road","S J Madarsa","28.601451, 77.222323"
176,"NDMC","Central","D-07-P","J & K House","Prithvi Raj Road","India Gate circle","28.601687, 77.222361"
177,"NDMC","Central","D-08-P","Statesman House","Bara Khamba Road","Mandi House","28.630732, 77.223543"
178,"NDMC","Central","D-09-P","Statesman House","Bara Khamba Road","Connaught Place","28.630257, 77.223715"
179,"NDMC","Central","D-10-P","Metro Station Bara Khamba Road","Bara Khamba Road","Mandi House","28.629647, 77.225440"
180,"NDMC","Central","D-11-P","Metro Station Bara Khamba Road","Bara Khamba Road","Connaught Place","28.629329, 77.225493"
181,"NDMC","Central","D-18-P","Claridges Hotel","Janpath","Rajesh pilot Marg","28.602592, 77.217866"
182,"NDMC","Central","D-19-P","Claridges Hotel","Janpath","Connaught Place","28.601876, 77.217632"
183,"NDMC","Central","G-01-P","Tolstoy House","Tolstoy Marg","K G Marg","28.626437, 77.220073"
184,"NDMC","Central","G-02-P","Super Bazar","Connaught Circus","Barakhamba Road","28.633003, 77.222985"
185,"NDMC","Central","G-10-P","Talkatora Stadium","Mother Teresa Crescent","R M L Hospital","28.621755, 77.194740"
186,"NDMC","Central","G-11-P","Talkatora Stadium","Mother Teresa Crescent","Teen Murti Marg","28.621574, 77.194697"
187,"NDMC","Central","H-01-P","South Avenue","South Avenue","Rashtrapati Bhawan","28.609852, 77.199114"
188,"NDMC","Central","H-02-P","Tilak Bridge","Sikandara Road","ITO","28.623939, 77.239208"
189,"NDMC","Central","H-03-P","Palika Kutumb","Sardar Patel Marg","Mother Teresa Crescent","28.607563, 77.188743"
190,"NDMC","Central","H-05-P","East Kidwai Nagar","Aurobindo Marg","Mahatma Gandhi Marg (Ring","28.573957, 77.209324"
191,"NDMC","Central","G-03-P","AIIMS","Aurobindo Marg","S J Madarsa","28.566694, 77.207560"
192,"NDMC","Central","G-04-P","AIIMS","Rafi Ahmed Kidwai Marg","Udyog Bhawan","28.615708, 77.212237"
